,rank,title,artist,week,raw_rank,full_id,delta_rank,weeks_in_chart,best_pos
0,1,Юность,DaBro,01/09/20 - 07/09/20,30.571,,,,
1,2,Blinding Lights,The Weeknd,01/09/20 - 07/09/20,31.214,,,,
2,3,Краш,Клава Кока,01/09/20 - 07/09/20,32.929,,,,
3,4,Сияй,Ramil',01/09/20 - 07/09/20,34.286,,,,
4,5,Lovefool,twocolors,01/09/20 - 07/09/20,37.143,,,,
5,6,Поболело и прошло,Hensy,01/09/20 - 07/09/20,37.214,,,,
6,7,Fly 2,Zivert,01/09/20 - 07/09/20,38.429,,,,
7,8,Dance Monkey,Tones and I,01/09/20 - 07/09/20,41.214,,,,
8,9,Lollipop,Gafur,01/09/20 - 07/09/20,42.143,,,,
9,10,Take Off Panties,XOLERA,01/09/20 - 07/09/20,45.714,,,,
10,11,Life,Zivert,01/09/20 - 07/09/20,46.07100000000001,,,,
11,12,Cadillac,Morgenshtern,01/09/20 - 07/09/20,46.357,,,,
12,13,Roses (Imanbek Remix),SAINt JHN,01/09/20 - 07/09/20,46.429,,,,
13,14,А если это любовь?,HammAli & Navai,01/09/20 - 07/09/20,47.5,,,,
14,15,Комета,Jony,01/09/20 - 07/09/20,48.0,,,,
15,16,Плачу на техно,Cream Soda,01/09/20 - 07/09/20,48.5,,,,
16,17,MAMACITA,Black Eyed Peas,01/09/20 - 07/09/20,48.714,,,,
17,18,Ты беспощадна,Jony,01/09/20 - 07/09/20,48.857,,,,
18,19,Двигаться,RaiM,01/09/20 - 07/09/20,49.429,,,,
19,20,неболей,Баста,01/09/20 - 07/09/20,50.286,,,,
20,21,X.O,The Limba,01/09/20 - 07/09/20,51.143,,,,
21,22,ily (i love you baby),Surf Mesa,01/09/20 - 07/09/20,51.857,,,,
22,23,Ride It,Regard,01/09/20 - 07/09/20,52.286,,,,
23,24,Таблетка,Джаро & Ханза,01/09/20 - 07/09/20,52.357,,,,
24,25,Любимка,NILETTO,01/09/20 - 07/09/20,54.143,,,,
25,26,Intihask,Hafex,01/09/20 - 07/09/20,54.714,,,,
26,27,Breaking Me,Topic,01/09/20 - 07/09/20,55.0,,,,
27,28,Say So,Doja Cat,01/09/20 - 07/09/20,56.714,,,,
28,29,Пряталась в ванной,Мари Краймбрери,01/09/20 - 07/09/20,60.929,,,,
29,30,ЯТЛ,Zivert,01/09/20 - 07/09/20,61.429,,,,
30,31,bad guy,Billie Eilish,01/09/20 - 07/09/20,63.143,,,,
31,32,БЕГИ feat. Poët,Dj Smash,01/09/20 - 07/09/20,63.286,,,,
32,33,Kings & Queens,Ava Max,01/09/20 - 07/09/20,64.0,,,,
33,34,Грустный дэнс (feat. Артем Качер),Artik & Asti,01/09/20 - 07/09/20,64.429,,,,
34,35,Minor,Miyagi & Andy Panda,01/09/20 - 07/09/20,65.143,,,,
